stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
1403,,"JAMBLINNE DE MEUX",,  50.847240,   4.393729,,,0
1404,,"VICTOR HUGO",,  50.847707,   4.397407,,,0
1406,,"VERGOTE",,  50.845754,   4.403994,,,0
1408,,"MONTALD",,  50.843986,   4.421287,,,0
1410,,"MELARD",,  50.842013,   4.428398,,,0
1412,,"VOOT",,  50.840994,   4.434956,,,0
1415,,"STADE FALLON",,  50.841169,   4.443304,,,0
1416,,"FROISSART",,  50.840185,   4.382637,,,0
1417B,,"BREYDEL",,  50.840850,   4.384696,,,0
1418B,,"SCHUMAN",,  50.843035,   4.383958,,,0
1419,,"GUEUX",,  50.847115,   4.391358,,,0
1421,,"SLEGERS",,  50.841436,   4.432386,,,0
1422,,"DEPORTES",,  50.839797,   4.437879,,,0
1423,,"PARC MALOU",,  50.840299,   4.440293,,,0
1424,,"GEORGES HENRI",,  50.842274,   4.406462,,,0
1425,,"AMBIORIX",,  50.846244,   4.384315,,,0
1449,,"SLEGERS",,  50.841490,   4.432103,,,0
1450,,"DEPORTES",,  50.839851,   4.436757,,,0
1451,,"PARC MALOU",,  50.840560,   4.439697,,,0
1454,,"VOOT",,  50.841381,   4.434303,,,0
1456,,"MELARD",,  50.842347,   4.427376,,,0
1458,,"MONTALD",,  50.844094,   4.421202,,,0
1459,,"GEORGES HENRI",,  50.842922,   4.406278,,,0
1460,,"VERGOTE",,  50.845826,   4.404548,,,0
1462,,"VICTOR HUGO",,  50.848021,   4.398146,,,0
1463,,"GUEUX",,  50.846998,   4.390903,,,0
1464,,"MICHEL-ANGE",,  50.845282,   4.386558,,,0
1474B,,"SCHUMAN",,  50.843170,   4.383888,,,0
1475,,"CERIA",,  50.816437,   4.290989,,,0
1476,,"FROISSART",,  50.840500,   4.381885,,,0
1477B,,"CERIA",,  50.816266,   4.290209,,,0
1479,,"COLOMBOPHILES",,  50.818644,   4.298266,,,0
1480,,"WAXWEILER",,  50.823075,   4.296755,,,0
1482,,"RENE HENRY",,  50.836154,   4.295301,,,0
1483,,"WESTLAND SHOPPING",,  50.837828,   4.283771,,,0
1484,,"POMMIER",,  50.835155,   4.280397,,,0
1486B,,"BON AIR",,  50.835718,   4.275337,,,0
1487,,"POMMIER",,  50.834966,   4.280497,,,0
1488,,"WESTLAND SHOPPING",,  50.837648,   4.284254,,,0
1489,,"RENE HENRY",,  50.836343,   4.295116,,,0
1490,,"VAN BEETHOVEN",,  50.828854,   4.293893,,,0
1492,,"WAXWEILER",,  50.823022,   4.297351,,,0
1493,,"WAUTERS",,  50.818498,   4.294704,,,0
1495,,"VAN BEETHOVEN",,  50.828962,   4.293893,,,0
